Date,Open,High,Low,Close,Adj Close,Volume
2017-04-10,72.559998,73.400002,72.339996,72.419998,56.856602,161000
2017-04-17,72.440002,72.940002,70.290001,70.589996,55.419872,472000
2017-04-24,71.269997,71.580002,69.870003,70.250000,55.152946,476600
2017-05-01,70.300003,70.720001,67.500000,67.900002,53.307968,619900
2017-05-08,67.709999,68.620003,67.320000,68.279999,53.606304,441800
2017-05-15,68.480003,68.900002,67.470001,68.330002,53.645561,501800
2017-05-22,68.349998,68.940002,67.500000,67.779999,53.213760,459900
2017-05-29,67.220001,67.220001,66.040001,66.500000,52.208839,340500
2017-06-05,66.080002,66.309998,64.699997,64.940002,50.984089,458200
2017-06-12,64.500000,64.800003,63.090000,63.590000,49.924217,621800
2017-06-19,63.639999,63.959999,61.820000,61.970001,49.068699,581700
2017-06-26,62.490002,62.549999,61.070000,61.279999,48.522343,462800
2017-07-03,61.480000,63.040001,61.169998,61.549999,48.736130,433500
2017-07-10,61.250000,63.080002,60.689999,62.939999,49.836746,479000
2017-07-17,62.610001,63.790001,62.259998,62.619999,49.583370,353500
2017-07-24,62.980000,65.430000,62.459999,64.510002,51.079903,449900
2017-07-31,64.349998,65.290001,64.180000,64.680000,51.214508,492700
2017-08-07,64.580002,64.669998,62.540001,63.410000,50.208908,359000
2017-08-14,63.540001,63.540001,60.939999,61.310001,48.546097,514100
2017-08-21,61.810001,65.000000,61.810001,64.599998,51.151165,652900
2017-08-28,64.080002,65.349998,63.180000,65.139999,51.578743,600700
2017-09-04,64.730003,65.099998,63.770000,64.339996,50.945290,643400
2017-09-11,64.169998,65.620003,63.250000,63.389999,51.011974,871300
2017-09-18,63.549999,63.709999,62.439999,62.810001,50.545238,541400
2017-09-25,62.299999,64.190002,61.869999,64.110001,51.591381,734000
2017-10-02,63.900002,65.230003,63.709999,63.849998,51.382149,399700
2017-10-09,63.889999,64.699997,63.580002,64.230003,51.687950,306400
2017-10-16,64.430000,65.260002,63.779999,64.230003,51.687950,492400
2017-10-23,64.050003,64.559998,62.910000,64.290001,51.736237,376200
2017-10-30,65.110001,68.959999,65.029999,67.790001,54.552792,559400
2017-11-06,69.620003,72.000000,69.410004,71.459999,57.506165,585900
2017-11-13,70.360001,70.660004,66.779999,66.970001,53.892918,516400
2017-11-20,66.419998,68.779999,65.510002,68.419998,55.059769,378100
2017-11-27,68.430000,68.739998,66.699997,67.660004,54.448189,422800
2017-12-04,68.239998,68.370003,65.690002,66.320000,53.369843,537200
2017-12-11,66.389999,69.760002,66.389999,68.389999,55.035629,576100
2017-12-18,68.379997,70.489998,68.379997,70.330002,56.596817,311300
2017-12-25,70.339996,71.180000,69.870003,69.940002,56.282967,168200
2018-01-01,71.269997,75.000000,70.370003,74.500000,59.952553,678200
2018-01-08,73.709999,76.839996,73.070000,76.839996,61.835625,521500
2018-01-15,75.680000,75.989998,74.320000,74.680000,60.097404,442000
2018-01-22,75.349998,82.190002,75.040001,82.139999,66.100700,668500
2018-01-29,82.169998,82.330002,76.470001,78.580002,63.235863,1070100
2018-02-05,78.500000,78.500000,66.010002,68.180000,54.866650,1275400
2018-02-12,68.000000,70.980003,67.250000,70.120003,56.427818,726200
2018-02-19,69.279999,72.150002,68.919998,72.110001,58.029236,457200
2018-02-26,72.199997,72.669998,67.050003,69.000000,55.526524,521400
2018-03-05,67.059998,69.550003,66.660004,69.449997,55.888649,587100
2018-03-12,69.160004,69.519997,67.680000,68.449997,55.083920,368900
2018-03-19,68.320000,71.400002,67.320000,68.389999,55.035629,479000
2018-03-26,69.690002,70.400002,68.529999,69.739998,56.122025,421400
2018-04-02,69.500000,70.459999,66.949997,67.849998,54.601082,495100
2018-04-09,68.620003,73.260002,68.180000,72.519997,58.359180,891400
2018-04-16,71.860001,75.739998,70.250000,74.660004,60.081310,679800
2018-04-23,74.110001,75.260002,72.510002,73.330002,59.011005,464400
2018-04-30,73.650002,74.419998,70.580002,71.480003,57.522259,758000
2018-05-07,72.459999,77.559998,70.739998,76.949997,61.924141,766500
2018-05-14,78.290001,82.230003,77.129997,81.669998,65.722481,780800
2018-05-21,81.900002,82.690002,76.820000,79.959999,64.346390,1970200
2018-05-28,81.000000,84.099998,80.239998,82.349998,66.269707,757000
2018-06-04,82.129997,85.019997,80.139999,84.180000,67.742371,584600
2018-06-11,83.529999,84.089996,75.019997,75.220001,60.531967,826900
2018-06-18,75.199997,75.980003,72.669998,74.459999,60.621971,648200
2018-06-25,73.029999,76.639999,72.120003,76.269997,62.095585,835900
2018-07-02,75.300003,75.790001,71.540001,72.480003,59.009941,449300
2018-07-09,73.330002,75.160004,71.120003,73.610001,59.929939,613200
2018-07-16,71.839996,72.269997,69.830002,72.099998,58.700565,504500
2018-07-23,71.930000,75.260002,70.959999,74.970001,61.037178,379300
2018-07-30,75.959999,76.410004,71.790001,72.889999,59.343746,373000
2018-08-06,72.510002,76.900002,72.349998,74.900002,60.980198,434300
2018-08-13,74.110001,74.970001,71.580002,73.309998,59.685680,359100
2018-08-20,73.449997,75.540001,73.050003,74.599998,60.735950,299700
2018-08-27,76.650002,78.199997,73.629997,74.059998,60.296307,523900
2018-09-03,73.779999,73.779999,71.040001,73.320000,59.693825,351400
2018-09-10,74.070000,75.949997,72.110001,75.029999,61.086040,685800
2018-09-17,76.250000,79.230003,75.989998,77.480003,64.217316,509000
2018-09-24,76.900002,81.820000,76.790001,81.440002,67.499451,570800
2018-10-01,82.080002,83.239998,77.769997,78.739998,65.261620,573500
2018-10-08,77.480003,79.059998,74.349998,75.400002,62.493366,671800
2018-10-15,76.389999,78.500000,74.360001,75.459999,62.543076,494900
2018-10-22,76.800003,76.800003,70.699997,72.059998,59.725071,647200
2018-10-29,71.529999,75.110001,70.000000,72.860001,60.388130,614300
2018-11-05,74.570000,77.239998,73.849998,74.250000,61.540207,325200
2018-11-12,75.029999,75.089996,71.660004,73.400002,60.835705,614400
2018-11-19,72.019997,72.180000,66.980003,67.309998,55.788162,583200
2018-11-26,67.959999,71.709999,67.290001,69.500000,57.603291,570700
2018-12-03,72.160004,72.669998,67.839996,68.570000,56.832485,506600
2018-12-10,68.169998,69.919998,66.889999,68.199997,56.525806,416500
2018-12-17,68.050003,68.160004,61.279999,61.419998,50.906387,576700
2018-12-24,61.020000,62.610001,59.570000,60.980000,50.541706,248700
2018-12-31,62.090000,63.119999,59.209999,62.810001,52.058456,404100
2019-01-07,62.669998,66.050003,62.150002,63.470001,52.605480,674000
2019-01-14,62.410000,65.110001,62.259998,64.930000,53.815563,349000
2019-01-21,62.650002,64.440002,61.450001,64.070000,53.102776,516600
2019-01-28,63.029999,65.180000,62.599998,64.629997,53.566917,421300
2019-02-04,64.120003,64.750000,62.590000,63.369999,52.522594,217700
2019-02-11,63.020000,64.680000,62.119999,64.480003,53.442593,456300
2019-02-18,65.540001,67.750000,65.540001,67.540001,55.978790,272000
2019-02-25,67.419998,67.699997,65.470001,65.919998,54.636097,282800
2019-03-04,66.330002,66.480003,63.200001,63.720001,52.812687,329100
2019-03-11,64.339996,65.400002,64.339996,65.120003,53.973042,398700
2019-03-18,66.620003,68.800003,65.550003,66.029999,54.727268,456800
2019-03-25,64.970001,65.750000,64.510002,65.430000,54.229973,399000
2019-04-01,65.779999,67.370003,65.389999,67.279999,55.763298,390600
2019-04-08,67.419998,67.750000,65.410004,65.699997,54.453751,338400
2019-04-15,64.709999,64.860001,63.919998,64.589996,53.533760,293800
2019-04-22,64.699997,65.720001,63.470001,63.590000,52.704941,436100
2019-04-29,63.599998,63.880001,61.570000,62.419998,51.735207,341000
2019-05-06,61.020000,62.230000,58.000000,58.939999,48.850903,629300
2019-05-13,58.279999,59.349998,57.490002,58.070000,48.129822,633300
2019-05-20,58.570000,58.939999,56.110001,57.360001,47.541367,526200
